Row,W(7),W(14),W(21),W(28),W(35),W(42),W(49),W(56),W(63),W(70),W(77),W(84),W(91),W(98),W(105),W(112),W(119),W(126),W(133),W(140),D(7),D(14),D(21),D(28),D(35),D(42),D(49),D(56),D(63),D(70),D(77),D(84),D(91),D(98),D(105),D(112),D(119),D(126),D133),D(140)
beta,0.924658383687479,0.933270435605094,0.938005273297749,0.939851651213709,0.9387324384207,0.936043185965705,0.933135967203074,0.930611231445252,0.928760428201783,0.927139247172651,0.926121805232582,0.926207764107399,0.925975735348663,0.926083062339396,0.926594620570057,0.926900310905841,0.927457035618902,0.927827926314216,0.928121452197388,0.928549217336621,0.774931623337939,0.893308705097974,0.920676659138563,0.928339761169679,0.927617250727722,0.92184045436785,0.915086197102802,0.908618006765146,0.903904682157766,0.900809403204056,0.898621291821265,0.896665696709271,0.895287853785255,0.894198417730425,0.89280612331854,0.891718577066599,0.891037902909216,0.890355912709008,0.890100570398136,0.889871915230052
r,-0.0253187300482358,-0.0415370025971079,-0.0648353668755811,-0.0937549770075354,-0.137643399887657,-0.188822776727273,-0.234819979633942,-0.277482802575783,-0.311623356049277,-0.340594715646122,-0.365001348682909,-0.38430261942957,-0.399552344770374,-0.41190354974634,-0.424233977649697,-0.433766759696519,-0.442533716222992,-0.449591956992242,-0.455865711645092,-0.461953307765136,-0.0266226955446616,-0.0207540507434983,-0.0239456835882175,-0.0282661432505599,-0.0308592811743878,-0.0414307924670841,-0.0521112834468276,-0.0645160132771711,-0.0712404592566788,-0.0768687874052854,-0.0801583912145269,-0.0819515361187315,-0.0816283437876003,-0.0826569950205175,-0.0843718945482481,-0.0855781789134386,-0.086360897973268,-0.0864002143195849,-0.0862717731576941,-0.0864509401419322
delta,-0.0372336954839721,-0.0726469722391175,-0.118465262193024,-0.176441513753999,-0.2361422278401,-0.287680304949333,-0.328945731051947,-0.361983257665814,-0.387221424527045,-0.404960687362224,-0.421344058389624,-0.433041058437271,-0.444125693863844,-0.452050554452347,-0.460045680612107,-0.466634121918421,-0.473838170337824,-0.477729426673908,-0.481746701751721,-0.48486603913463,-0.0194192328884518,-0.0635981887038311,-0.125237360261925,-0.193652060431322,-0.260494876835024,-0.325901624490162,-0.384784227288584,-0.431169572691344,-0.46922800747284,-0.49849317007154,-0.521393283357101,-0.538463142159799,-0.552467592863751,-0.562837067511645,-0.570526787798149,-0.576129138660036,-0.579940433933054,-0.583169370303936,-0.585448779983611,-0.587563846783568
kappa,0.860343794116409,0.821557515248152,0.797223040205212,0.775848365211375,0.748525348081855,0.715402575130423,0.679364296800109,0.643413644015237,0.609573836625456,0.577469213519834,0.548920017922013,0.525137201918909,0.502476391877649,0.485058146803923,0.469195368108206,0.455152124217957,0.441671873447938,0.429378602654834,0.417713089468361,0.409006857961236,0.682168355843706,0.758759666111456,0.771534668421336,0.756803739565903,0.725630159784991,0.678704563896737,0.633275944983945,0.593895863096218,0.557994584731507,0.529174379453864,0.505859198018787,0.486749781565979,0.470798666919082,0.457301029924173,0.446171359370496,0.43764660012442,0.431514015616025,0.425605373820317,0.421803210421935,0.418772686469868
gamma,-0.217863324207652,-0.326495867969688,-0.373373322062456,-0.403656735345224,-0.420134217005468,-0.434300610034411,-0.448319230647137,-0.465360129710925,-0.481149049404782,-0.493156969742068,-0.505362041072721,-0.515715814576439,-0.525397864104118,-0.533439356846612,-0.541529774122322,-0.546754509604872,-0.552926913942117,-0.558640141300512,-0.563286455616291,-0.567625128567563,-0.473454584287309,-0.492148454252259,-0.512593811338747,-0.523759358618243,-0.527882560353905,-0.527670848893691,-0.531152568266887,-0.531570077662644,-0.53312069447268,-0.534620675698885,-0.537215541011381,-0.538974798868584,-0.540113945310806,-0.54132970844141,-0.541103688337468,-0.541174147989835,-0.540125477677855,-0.538445660156388,-0.537494543193919,-0.536763460418601
alpha,-0.322715380288822,-0.455613689334236,-0.51336656957524,-0.540087400040658,-0.551039794930196,-0.555104089416269,-0.555130676599992,-0.553407968790634,-0.551537437306311,-0.547228825666681,-0.542377535320691,-0.542346363476264,-0.539926680131367,-0.539117708811545,-0.538807906072369,-0.538491216892063,-0.538799674621354,-0.53780681892417,-0.537160880937411,-0.537184936615661,0.888877485825061,0.631928094193428,0.340426778879435,0.145295492003846,0.0664350331676701,0.0549065547700876,0.0625323585595046,0.0698670671004015,0.0800473481164251,0.0877753949354854,0.0939720216069525,0.100227008156931,0.10532120516654,0.110262171925151,0.112629431661833,0.11466450416319,0.116553947617304,0.11831175487305,0.119924555604941,0.121134731341477
