Row,W(7),W(14),W(21),W(28),W(35),W(42),W(49),W(56),W(63),W(70),W(77),W(84),W(91),W(98),W(105),W(112),W(119),W(126),W(133),W(140),D(7),D(14),D(21),D(28),D(35),D(42),D(49),D(56),D(63),D(70),D(77),D(84),D(91),D(98),D(105),D(112),D(119),D(126),D133),D(140)
beta,9.77583152905564e-285,5.09334172906507e-301,5.10896053819955e-310,1.4204883162218e-315,8.02201845813815e-315,1.00509171065517e-308,2.18275291431932e-302,1.69722117348067e-297,9.64518002300989e-295,1.74005838394064e-293,3.86675575190032e-293,3.8418148611366e-293,1.39876858120855e-293,1.83665097938158e-293,1.04022510141319e-293,7.58753107671471e-294,2.61480639468795e-294,1.27926721861149e-294,4.63475328443319e-295,1.06256760367978e-295,2.25997300115067e-139,6.3176343546481e-226,2.04414115778192e-273,6.28307388614867e-290,4.84347731529038e-289,1.24647234611931e-277,4.92768826787372e-267,7.13490642853528e-259,3.88313956710914e-253,4.64501570611888e-250,2.20047150334971e-247,3.10846093495898e-245,1.63113764192961e-243,1.95297673502231e-242,1.28600274319319e-242,8.08344105423565e-243,5.17111183038566e-243,1.54338770571879e-243,4.09393078118046e-244,9.71564317195456e-245
r,0.985426135862159,0.52837535962873,0.183440561574848,0.0211748253775055,0.00033504306715335,4.87935411772495e-07,1.98525779444323e-10,1.04682599005709e-13,1.8767388388438e-16,7.01532427275414e-19,1.02144931899214e-21,3.2679948986939e-24,2.05301061519612e-26,2.33134368205463e-28,3.56915131265775e-30,4.59080404271623e-32,8.92506032676751e-34,3.35526562000944e-35,1.11769135224302e-36,5.12929982233139e-38,0.497282854810743,0.946133198881763,0.813545768051009,0.537264011762491,0.322853719866121,0.197353428798608,0.129044531848405,0.0965603660561309,0.0706734263145493,0.0640383867753767,0.0680956457178101,0.0663513857755155,0.071486276605458,0.0724877894912195,0.0744937133146442,0.0712906289978797,0.0683551448060054,0.0662274514587589,0.0627785445007299,0.0571216547995853
delta,0.789571841160772,0.435386055362619,0.022692604374296,5.95734373714937e-05,2.63571932140834e-09,1.58429549514269e-14,1.12857272625461e-19,3.04200689565198e-24,3.20759359270735e-28,8.37242807099344e-32,2.96404834414123e-35,5.69722798787529e-38,3.39404629126933e-40,6.59615033446602e-42,2.23794942095667e-43,1.20630423641418e-44,9.95577916639156e-46,2.05763629949738e-46,3.56809454865442e-47,8.85070552802847e-48,0.736280497251838,0.222204839011277,0.00679333471043401,5.29288148544618e-06,4.51862600527162e-11,1.25434640562398e-17,1.05906393973726e-24,7.74122346302184e-32,1.5244489017007e-38,2.83042502680295e-45,1.18654621763693e-50,2.79355212792799e-55,8.08135964737469e-59,6.20270962670733e-62,1.45297696686921e-64,9.26334688656471e-67,2.00471577327448e-68,4.15074366014781e-70,1.46939281815917e-71,9.34683946556192e-73
kappa,1.75597335522047e-198,5.01474767085232e-167,7.16311535520056e-151,4.41809366290041e-140,3.60184855462637e-127,1.09789860998985e-112,9.2819709642389e-99,2.75457674116178e-87,1.42666301678602e-78,2.04942796420608e-72,2.21626037714057e-66,3.39257337655201e-61,1.14750594500559e-56,9.73939317858045e-53,3.09650723530767e-49,2.38599724574073e-46,1.22961055217249e-43,3.09886914486341e-41,3.62083632079493e-39,1.40685258507153e-37,1.48307213208681e-98,1.94695268461243e-119,2.41567725190031e-128,2.07880164659032e-124,4.43565914037058e-114,8.08267284117779e-99,6.45975974575731e-86,6.41252978518515e-76,3.7556018118861e-68,2.07226988372355e-62,1.46114814258531e-57,1.0808580770223e-53,1.56886857608091e-50,7.51826799531297e-48,8.05070757450169e-46,4.89745164366696e-44,5.90862207531499e-43,5.67450591216444e-42,4.31913507150296e-41,1.84007014836611e-40
gamma,2.17833687020673e-12,1.12606363920849e-23,1.40786326228273e-30,2.52811460836392e-35,7.14233416993216e-39,1.54737208618198e-41,4.85377964143887e-44,2.32464335978964e-46,9.96454890865743e-49,2.77083741896188e-51,8.4172816004963e-54,2.53763820815608e-56,1.18596968520115e-58,8.26970156087886e-61,1.84935629103464e-62,2.60912181310069e-64,1.16517063347225e-65,7.27044750701182e-67,4.4611415707519e-68,2.82422807976356e-69,2.99563911461836e-42,5.01729683576317e-45,4.12439973955397e-51,8.84478054805861e-56,3.02621324617819e-58,5.43197151463923e-59,6.74740105050239e-60,5.46061794310216e-61,1.6315712847671e-62,4.17499708302054e-64,3.51850926483603e-65,1.58096721122916e-65,5.51923453909691e-66,2.49299021738206e-66,6.67822566304369e-67,2.40138292955433e-67,1.26528425991907e-67,4.40336957203192e-68,2.23232612868225e-68,1.35799295727777e-68
alpha,8.83141646199235e-26,2.94330674936801e-45,2.48667703862136e-55,5.50918822346093e-62,6.53876078818674e-66,2.08274023787123e-68,3.32965648451476e-70,5.13317804457285e-71,2.92230921163006e-71,3.10843212499373e-72,1.11018615662297e-72,1.45585729806718e-73,5.66200302252034e-74,4.48108266491226e-74,2.2544598273598e-74,1.29344632529317e-74,6.45951750958524e-75,5.02164124911345e-75,4.06721803727198e-75,2.44069944667737e-75,7.88325976158412e-234,3.38260087995564e-65,3.2456654761178e-12,0.202710133947181,0.326310501554473,0.0918955312692528,0.060556613924456,0.0798026920000115,0.107327476639487,0.135908528916686,0.169242946020198,0.200704797966729,0.228289865623519,0.267302650094273,0.308903642084769,0.345342856695954,0.374364910838074,0.401801438752123,0.427608518293933,0.444621097901619
